====== PRINT_BPTREE ======
FrequentPattern		Frequency
{chocolate bread, eggs} 2
{corn, eggs} 2
{eggs, mashed potato} 2
{eggs, pickles} 2
{eggs, shallot} 2
{eggs, energy bar, escalope} 2
{eggs, energy bar, french wine} 2
{eggs, energy bar, gluten free bar} 2
{eggs, energy bar, soup} 2
{eggs, energy bar, vegetables mix} 2
{eggs, energy bar, yogurt cake} 2
{eggs, energy drink, fresh tuna} 2
{eggs, energy drink, frozen smoothie} 2
{eggs, energy drink, frozen vegetables} 2
{eggs, energy drink, ham} 2
{eggs, energy drink, parmesan cheese} 2
{eggs, energy drink, shrimp} 2
{eggs, escalope, extra dark chocolate} 2
{eggs, escalope, fresh bread} 2
{eggs, escalope, fromage blanc} 2
{eggs, escalope, gluten free bar} 2
{eggs, escalope, green grapes} 2
{eggs, escalope, gums} 2
{eggs, escalope, light mayo} 2
{eggs, escalope, melons} 2
{eggs, escalope, mint} 2
{eggs, escalope, protein bar} 2
{eggs, extra dark chocolate, french wine} 2
{eggs, extra dark chocolate, fresh tuna} 2
{eggs, extra dark chocolate, frozen vegetables} 2
{eggs, extra dark chocolate, ground beef} 2
{eggs, extra dark chocolate, honey} 2
{eggs, extra dark chocolate, low fat yogurt} 2
{eggs, extra dark chocolate, pancakes} 2
{eggs, extra dark chocolate, salmon} 2
{eggs, extra dark chocolate, tomatoes} 2
{eggs, flax seed, french fries} 2
{eggs, flax seed, frozen vegetables} 2
{eggs, french fries, green beans} 2
{eggs, french fries, mushroom cream sauce} 2
{eggs, french fries, salad} 2
{eggs, french fries, tomato sauce} 2
{eggs, french wine, fresh tuna} 2
{eggs, french wine, grated cheese} 2
{eggs, french wine, hot dogs} 2
{eggs, french wine, light mayo} 2
{eggs, french wine, meatballs} 2
{eggs, french wine, melons} 2
{eggs, french wine, salt} 2
{eggs, french wine, soup} 2
{eggs, french wine, strong cheese} 2
{eggs, french wine, vegetables mix} 2
{eggs, french wine, whole weat flour} 2
{eggs, fresh bread, frozen smoothie} 2
{eggs, fresh bread, green beans} 2
{eggs, fresh bread, green grapes} 2
{eggs, fresh bread, ham} 2
{eggs, fresh bread, meatballs} 2
{eggs, fresh bread, melons} 2
{eggs, fresh bread, muffins} 2
{eggs, fresh bread, protein bar} 2
{eggs, fresh bread, salmon} 2
{eggs, fresh bread, soda} 2
{eggs, fresh bread, yogurt cake} 2
{eggs, fresh tuna, frozen vegetables} 2
{eggs, fresh tuna, grated cheese} 2
{eggs, fresh tuna, ground beef} 2
{eggs, fresh tuna, hot dogs} 2
{eggs, fresh tuna, pepper} 2
{eggs, fresh tuna, red wine} 2
{eggs, fresh tuna, rice} 2
{eggs, fresh tuna, salad} 2
{eggs, fresh tuna, tomatoes} 2
{eggs, fresh tuna, vegetables mix} 2
{eggs, fromage blanc, light mayo} 2
{eggs, fromage blanc, milk} 2
{eggs, fromage blanc, pepper} 2
{eggs, fromage blanc, strawberries} 2
{eggs, fromage blanc, tomatoes} 2
{eggs, frozen smoothie, honey} 2
{eggs, frozen smoothie, meatballs} 2
{eggs, frozen smoothie, mint} 2
{eggs, frozen smoothie, pepper} 2
{eggs, frozen smoothie, rice} 2
{eggs, frozen smoothie, soup} 2
{eggs, frozen smoothie, spinach} 2
{eggs, frozen smoothie, strawberries} 2
{eggs, frozen smoothie, vegetables mix} 2
{eggs, frozen smoothie, whole wheat pasta} 2
{eggs, frozen vegetables, green beans} 2
{eggs, frozen vegetables, gums} 2
{eggs, frozen vegetables, oatmeal} 2
{eggs, frozen vegetables, pasta} 2
{eggs, frozen vegetables, rice} 2
{eggs, frozen vegetables, salt} 2
{eggs, frozen vegetables, strawberries} 2
{eggs, frozen vegetables, tea} 2
{eggs, frozen vegetables, zucchini} 2
{eggs, gluten free bar, hot dogs} 2
{eggs, gluten free bar, light mayo} 2
{eggs, gluten free bar, milk} 2
{eggs, gluten free bar, muffins} 2
{eggs, gluten free bar, salmon} 2
{eggs, gluten free bar, spaghetti} 2
{eggs, gluten free bar, turkey} 2
{eggs, gluten free bar, vegetables mix} 2
{eggs, grated cheese, hot dogs} 2
{eggs, grated cheese, mashed potato} 2
{eggs, grated cheese, parmesan cheese} 2
{eggs, grated cheese, soup} 2
{eggs, grated cheese, vegetables mix} 2
{eggs, green beans, green tea} 2
{eggs, green beans, milk} 2
{eggs, green beans, tomatoes} 2
{eggs, green grapes, green tea} 2
{eggs, green grapes, turkey} 2
{eggs, green tea, gums} 2
{eggs, green tea, magazines} 2
{eggs, green tea, mayonnaise} 2
{eggs, green tea, meatballs} 2
{eggs, green tea, muffins} 2
{eggs, green tea, protein bar} 2
{eggs, green tea, rice} 2
{eggs, green tea, salmon} 2
{eggs, green tea, shallot} 2
{eggs, green tea, shampoo} 2
{eggs, green tea, soup} 2
{eggs, ground beef, gums} 2
{eggs, ground beef, light mayo} 2
{eggs, ground beef, muffins} 2
{eggs, ground beef, nonfat milk} 2
{eggs, ground beef, pasta} 2
{eggs, ground beef, pet food} 2
{eggs, ground beef, strawberries} 2
{eggs, ground beef, vegetables mix} 2
{eggs, ground beef, yams} 2
{eggs, ground beef, zucchini} 2
{eggs, gums, ham} 2
{eggs, gums, honey} 2
{eggs, gums, salmon} 2
{eggs, gums, tomato juice} 2
{eggs, gums, tomatoes} 2
{eggs, ham, mint green tea} 2
{eggs, ham, muffins} 2
{eggs, ham, red wine} 2
{eggs, ham, salmon} 2
{eggs, ham, shrimp} 2
{eggs, ham, turkey} 2
{eggs, honey, light mayo} 2
{eggs, honey, low fat yogurt} 2
{eggs, honey, magazines} 2
{eggs, honey, pepper} 2
{eggs, honey, shrimp} 2
{eggs, honey, whole wheat rice} 2
{eggs, hot dogs, pasta} 2
{eggs, hot dogs, pet food} 2
{eggs, hot dogs, shrimp} 2
{eggs, hot dogs, sparkling water} 2
{eggs, ketchup, mineral water} 2
{eggs, light cream, turkey} 2
{eggs, light mayo, soup} 2
{eggs, light mayo, tomato sauce} 2
{eggs, light mayo, whole wheat rice} 2
{eggs, low fat yogurt, mint} 2
{eggs, low fat yogurt, muffins} 2
{eggs, low fat yogurt, parmesan cheese} 2
{eggs, low fat yogurt, pasta} 2
{eggs, low fat yogurt, shampoo} 2
{eggs, low fat yogurt, strawberries} 2
{eggs, low fat yogurt, tomato juice} 2
{eggs, low fat yogurt, whole weat flour} 2
{eggs, low fat yogurt, yogurt cake} 2
{eggs, magazines, mineral water} 2
{eggs, magazines, red wine} 2
{eggs, magazines, spaghetti} 2
{eggs, mashed potato, mineral water} 2
{eggs, mayonnaise, yogurt cake} 2
{eggs, meatballs, mint} 2
{eggs, meatballs, salad} 2
{eggs, meatballs, shrimp} 2
{eggs, meatballs, whole wheat rice} 2
{eggs, melons, mineral water} 2
{eggs, melons, soup} 2
{eggs, melons, spaghetti} 2
{eggs, melons, tomatoes} 2
{eggs, melons, white wine} 2
{eggs, melons, whole wheat rice} 2
{eggs, milk, nonfat milk} 2
{eggs, milk, oatmeal} 2
{eggs, milk, rice} 2
{eggs, milk, spinach} 2
{eggs, milk, strawberries} 2
{eggs, milk, whole weat flour} 2
{eggs, milk, yams} 2
{eggs, mineral water, muffins} 2
{eggs, mineral water, salad} 2
{eggs, mineral water, whole weat flour} 2
{eggs, mineral water, zucchini} 2
{eggs, mint, pancakes} 2
{eggs, mint, salmon} 2
{eggs, mint, shrimp} 2
{eggs, mint, whole wheat rice} 2
{eggs, mint green tea, spaghetti} 2
{eggs, muffins, pasta} 2
{eggs, muffins, salmon} 2
{eggs, muffins, spaghetti} 2
{eggs, muffins, turkey} 2
{eggs, mushroom cream sauce, pancakes} 2
{eggs, mushroom cream sauce, shrimp} 2
{eggs, mushroom cream sauce, yogurt cake} 2
{eggs, oatmeal, shrimp} 2
{eggs, pancakes, salt} 2
{eggs, pancakes, spinach} 2
{eggs, parmesan cheese, salmon} 2
{eggs, parmesan cheese, soup} 2
{eggs, parmesan cheese, turkey} 2
{eggs, parmesan cheese, vegetables mix} 2
{eggs, pasta, pepper} 2
{eggs, pasta, sparkling water} 2
{eggs, pasta, whole wheat rice} 2
{eggs, pepper, soup} 2
{eggs, pepper, whole wheat rice} 2
{eggs, pet food, soup} 2
{eggs, pickles, spaghetti} 2
{eggs, protein bar, salt} 2
{eggs, protein bar, turkey} 2
{eggs, red wine, rice} 2
{eggs, red wine, tomato juice} 2
{eggs, red wine, turkey} 2
{eggs, red wine, yams} 2
{eggs, red wine, yogurt cake} 2
{eggs, rice, shrimp} 2
{eggs, rice, vegetables mix} 2
{eggs, rice, yogurt cake} 2
{eggs, salad, shrimp} 2
{eggs, salmon, tomato juice} 2
{eggs, salmon, whole wheat rice} 2
{eggs, salmon, zucchini} 2
{eggs, salt, turkey} 2
{eggs, shrimp, strong cheese} 2
{eggs, soup, tomatoes} 2
{eggs, spaghetti, tea} 2
{eggs, spaghetti, white wine} 2
{eggs, spaghetti, whole weat flour} 2
{eggs, spaghetti, yams} 2
{eggs, spaghetti, yogurt cake} 2
{eggs, spaghetti, zucchini} 2
{eggs, strawberries, tomatoes} 2
{eggs, strawberries, white wine} 2
{eggs, strawberries, whole weat flour} 2
{eggs, tomato juice, whole weat flour} 2
{eggs, tomato sauce, turkey} 2
{eggs, tomatoes, whole weat flour} 2
{eggs, tomatoes, yogurt cake} 2
{eggs, turkey, vegetables mix} 2
{eggs, turkey, white wine} 2
{eggs, turkey, whole wheat pasta} 2
{eggs, turkey, yogurt cake} 2
{eggs, turkey, zucchini} 2
{almonds, avocado, eggs, milk} 2
{almonds, bacon, eggs, mineral water} 2
{almonds, burgers, cookies, eggs} 2
{almonds, burgers, eggs, escalope} 2
{almonds, burgers, eggs, light mayo} 2
{almonds, burgers, eggs, pancakes} 2
{almonds, burgers, eggs, soup} 2
{almonds, burgers, eggs, whole wheat rice} 2
{almonds, cake, chocolate, eggs} 2
{almonds, cake, eggs, french wine} 2
{almonds, cake, eggs, mineral water} 2
{almonds, chocolate, cottage cheese, eggs} 2
{almonds, chocolate, eggs, french fries} 2
{almonds, chocolate, eggs, milk} 2
{almonds, chocolate, eggs, mineral water} 2
{almonds, chocolate, eggs, pancakes} 2
{almonds, chocolate, eggs, soup} 2
{almonds, chocolate, eggs, whole wheat rice} 2
{almonds, cookies, eggs, french fries} 2
{almonds, cookies, eggs, green tea} 2
{almonds, eggs, escalope, mineral water} 2
{almonds, eggs, escalope, pepper} 2
{almonds, eggs, french fries, mineral water} 2
{almonds, eggs, fresh bread, frozen vegetables} 2
{almonds, eggs, frozen smoothie, whole wheat rice} 2
{almonds, eggs, frozen vegetables, whole wheat rice} 2
{almonds, eggs, green tea, milk} 2
{almonds, eggs, ground beef, mineral water} 2
{almonds, eggs, ground beef, spaghetti} 2
{almonds, eggs, meatballs, milk} 2
{almonds, eggs, mineral water, pancakes} 2
{almonds, eggs, mineral water, spaghetti} 2
{almonds, eggs, mineral water, turkey} 2
{antioxydant juice, eggs, frozen vegetables, green tea} 2
{antioxydant juice, eggs, frozen vegetables, turkey} 2
{antioxydant juice, eggs, green tea, mineral water} 2
{antioxydant juice, eggs, mineral water, turkey} 2
{avocado, cake, eggs, tomatoes} 2
{avocado, champagne, eggs, mineral water} 2
{avocado, chicken, eggs, frozen vegetables} 2
{avocado, chicken, eggs, milk} 2
{avocado, chocolate, eggs, green tea} 2
{avocado, chocolate, eggs, milk} 2
{avocado, chocolate, eggs, mineral water} 2
{avocado, chocolate, eggs, pancakes} 2
{avocado, cookies, eggs, french fries} 2
{avocado, eggs, french fries, ham} 2
{avocado, eggs, french fries, milk} 2
{avocado, eggs, frozen smoothie, frozen vegetables} 2
{avocado, eggs, frozen vegetables, whole wheat rice} 2
{avocado, eggs, green tea, pancakes} 2
{avocado, eggs, honey, pancakes} 2
{avocado, eggs, low fat yogurt, mineral water} 2
{avocado, eggs, mineral water, pepper} 2
{avocado, eggs, mineral water, red wine} 2
{avocado, eggs, red wine, spaghetti} 2
{bacon, barbecue sauce, eggs, frozen smoothie} 2
{bacon, burgers, chocolate, eggs} 2
{bacon, burgers, cookies, eggs} 2
{bacon, burgers, eggs, french fries} 2
{bacon, burgers, eggs, spaghetti} 2
{bacon, carrots, eggs, green tea} 2
{bacon, chocolate, eggs, green tea} 2
{bacon, cookies, eggs, green tea} 2
{bacon, eggs, french fries, green tea} 2
{bacon, eggs, french fries, milk} 2
{bacon, eggs, french fries, spaghetti} 2
{bacon, eggs, pancakes, spaghetti} 2
{barbecue sauce, burger sauce, eggs, turkey} 2
{barbecue sauce, butter, eggs, pancakes} 2
{barbecue sauce, cake, eggs, turkey} 2
{barbecue sauce, cereals, eggs, turkey} 2
{barbecue sauce, eggs, green tea, turkey} 2
{barbecue sauce, eggs, ground beef, turkey} 2
{barbecue sauce, eggs, pancakes, turkey} 2
{black tea, burgers, chocolate, eggs} 2
{black tea, butter, eggs, milk} 2
{black tea, cake, eggs, shrimp} 2
{black tea, cake, eggs, spaghetti} 2
{black tea, chocolate, eggs, milk} 2
{black tea, chocolate, eggs, spaghetti} 2
{black tea, chocolate, eggs, turkey} 2
{black tea, eggs, green tea, low fat yogurt} 2
{black tea, eggs, green tea, whole wheat rice} 2
{black tea, eggs, low fat yogurt, milk} 2
{black tea, eggs, low fat yogurt, spaghetti} 2
{black tea, eggs, mineral water, spaghetti} 2
{black tea, eggs, mineral water, turkey} 2
{black tea, eggs, mineral water, whole wheat rice} 2
{black tea, eggs, pancakes, spaghetti} 2
{black tea, eggs, pancakes, turkey} 2
{black tea, eggs, pancakes, vegetables mix} 2
{black tea, eggs, shrimp, spaghetti} 2
{blueberries, burger sauce, chicken, eggs} 2
{blueberries, burger sauce, eggs, mineral water} 2
{blueberries, chicken, chocolate, eggs} 2
{blueberries, chicken, eggs, light cream} 2
{blueberries, chicken, eggs, milk} 2
{blueberries, chicken, eggs, pancakes} 2
{blueberries, chocolate, eggs, mineral water} 2
{blueberries, eggs, french fries, mineral water} 2
{blueberries, eggs, french fries, spaghetti} 2
{blueberries, eggs, light cream, mineral water} 2
{blueberries, eggs, milk, mineral water} 2
{blueberries, eggs, mineral water, pancakes} 2
{blueberries, eggs, mineral water, spaghetti} 2
{body spray, brownies, eggs, ground beef} 2
{body spray, brownies, eggs, spaghetti} 2
{body spray, burgers, eggs, frozen smoothie} 2
{body spray, champagne, eggs, french fries} 2
{body spray, chicken, eggs, french fries} 2
{body spray, chocolate, eggs, french fries} 2
{body spray, eggs, energy bar, french fries} 2
{body spray, eggs, energy drink, spaghetti} 2
{body spray, eggs, escalope, french fries} 2
{body spray, eggs, escalope, mineral water} 2
{body spray, eggs, french fries, ground beef} 2
{body spray, eggs, frozen smoothie, spaghetti} 2
{body spray, eggs, grated cheese, spaghetti} 2
{body spray, eggs, mineral water, vegetables mix} 2
{brownies, burgers, eggs, green tea} 2
{brownies, burgers, eggs, light mayo} 2
{brownies, butter, eggs, spaghetti} 2
{brownies, cake, chocolate, eggs} 2
{brownies, cake, eggs, french fries} 2
{brownies, cake, eggs, mineral water} 2
{brownies, chocolate, eggs, frozen vegetables} 2
{brownies, cottage cheese, eggs, hot dogs} 2
{brownies, cottage cheese, eggs, mineral water} 2
{brownies, eggs, energy bar, green tea} 2
{brownies, eggs, energy drink, spaghetti} 2
{brownies, eggs, french fries, gluten free bar} 2
{brownies, eggs, french fries, green tea} 2
{brownies, eggs, french fries, hot dogs} 2
{brownies, eggs, french fries, light mayo} 2
{brownies, eggs, french fries, milk} 2
{brownies, eggs, french fries, mineral water} 2
{brownies, eggs, french fries, tomatoes} 2
{brownies, eggs, french fries, turkey} 2
{brownies, eggs, fresh bread, frozen vegetables} 2
{brownies, eggs, fresh bread, mineral water} 2
{brownies, eggs, fresh bread, tomatoes} 2
{brownies, eggs, fresh tuna, mineral water} 2
{brownies, eggs, fresh tuna, pancakes} 2
{brownies, eggs, green tea, milk} 2
{brownies, eggs, ground beef, red wine} 2
{brownies, eggs, ground beef, spaghetti} 2
{brownies, eggs, hot dogs, spaghetti} 2
{brownies, eggs, light mayo, pancakes} 2
{brownies, eggs, light mayo, spaghetti} 2
{brownies, eggs, low fat yogurt, mineral water} 2
{brownies, eggs, milk, mineral water} 2
{brownies, eggs, mineral water, red wine} 2
{brownies, eggs, mineral water, spaghetti} 2
{brownies, eggs, mineral water, tomatoes} 2
{brownies, eggs, pancakes, spaghetti} 2
{brownies, eggs, parmesan cheese, spaghetti} 2
{brownies, eggs, spaghetti, turkey} 2
{bug spray, eggs, frozen vegetables, tomatoes} 2
{bug spray, eggs, green tea, spaghetti} 2
{burger sauce, cake, eggs, turkey} 2
{burger sauce, chicken, chocolate, eggs} 2
{burger sauce, chicken, eggs, french fries} 2
{burger sauce, chicken, eggs, frozen smoothie} 2
{burger sauce, chicken, eggs, ground beef} 2
{burger sauce, chicken, eggs, light cream} 2
{burger sauce, chicken, eggs, milk} 2
{burger sauce, chicken, eggs, turkey} 2
{burger sauce, chocolate, eggs, mineral water} 2
{burger sauce, eggs, french fries, fresh bread} 2
{burger sauce, eggs, french fries, milk} 2
{burger sauce, eggs, fresh bread, ground beef} 2
{burger sauce, eggs, fresh bread, milk} 2
{burger sauce, eggs, fresh bread, turkey} 2
{burger sauce, eggs, frozen smoothie, mineral water} 2
{burger sauce, eggs, light cream, mineral water} 2
{burgers, butter, eggs, green tea} 2
{burgers, butter, eggs, mineral water} 2
{burgers, butter, eggs, pancakes} 2
{burgers, butter, eggs, vegetables mix} 2
{burgers, cake, carrots, eggs} 2
{burgers, cake, chocolate, eggs} 2
{burgers, cake, eggs, fresh tuna} 2
{burgers, cake, eggs, frozen smoothie} 2
{burgers, cake, eggs, light mayo} 2
{burgers, cake, eggs, meatballs} 2
{burgers, cake, eggs, tomatoes} 2
{burgers, candy bars, eggs, salmon} 2
{burgers, carrots, eggs, french wine} 2
{burgers, carrots, eggs, grated cheese} 2
{burgers, carrots, eggs, green tea} 2
{burgers, carrots, eggs, low fat yogurt} 2
{burgers, carrots, eggs, milk} 2
{burgers, carrots, eggs, mineral water} 2
{burgers, champagne, chocolate, eggs} 2
{burgers, champagne, eggs, french fries} 2
{burgers, champagne, eggs, frozen smoothie} 2
{burgers, chicken, chocolate, eggs} 2
{burgers, chicken, eggs, frozen smoothie} 2
{burgers, chocolate, cider, eggs} 2
{burgers, chocolate, cookies, eggs} 2
{burgers, chocolate, eggs, fresh bread} 2
{burgers, chocolate, eggs, ham} 2
{burgers, chocolate, eggs, pancakes} 2
{burgers, chocolate, eggs, salmon} 2
{burgers, chocolate, eggs, soup} 2
{burgers, chocolate, eggs, tomato juice} 2
{burgers, chocolate, eggs, whole wheat pasta} 2
{burgers, cider, cottage cheese, eggs} 2
{burgers, cider, eggs, milk} 2
{burgers, cider, eggs, mineral water} 2
{burgers, cider, eggs, spaghetti} 2
{burgers, cookies, eggs, frozen smoothie} 2
{burgers, cookies, eggs, ground beef} 2
{burgers, cottage cheese, eggs, french fries} 2
{burgers, cottage cheese, eggs, fresh bread} 2
{burgers, cottage cheese, eggs, fresh tuna} 2
{burgers, cottage cheese, eggs, gluten free bar} 2
{burgers, cottage cheese, eggs, spaghetti} 2
{burgers, cottage cheese, eggs, turkey} 2
{burgers, eggs, energy drink, spaghetti} 2
{burgers, eggs, energy drink, turkey} 2
{burgers, eggs, escalope, french fries} 2
{burgers, eggs, escalope, light mayo} 2
{burgers, eggs, escalope, whole wheat rice} 2
{burgers, eggs, french fries, fresh tuna} 2
{burgers, eggs, french fries, gluten free bar} 2
{burgers, eggs, french fries, pasta} 2
{burgers, eggs, french fries, strawberries} 2
{burgers, eggs, french wine, fresh bread} 2
{burgers, eggs, french wine, green beans} 2
{burgers, eggs, french wine, mineral water} 2
{burgers, eggs, french wine, tomatoes} 2
